UF;Municipio;CEP
PR;CURITIBA;81670130
RS;NOVO HAMBURGO;93548460
SP;SAO PAULO;02335010
SP;CAMPINAS;13097158
SP;MARILIA;17511790
SP;LIMEIRA;13480081
SP;GUARARAPES;16700000
MG;BELO HORIZONTE;30140170
RJ;RIO DE JANEIRO;20520050
SC;NOSSA SENHORA DE CARAVAGGIO;88868000
RJ;MACAE;27913570
MG;POCOS DE CALDAS;37701390
SP;SAO CARLOS;13561394
SC;IOMERE;89558000
SP;PIRACICABA;13418555
ES;MUCURICI;29880000
SP;MAUA;09371317
RJ;ARARUAMA;28970000
SP;BEBEDOURO;14706136
SP;CATANDUVA;15800110
SP;BERTIOGA;11256065
CE;FORTALEZA;60710590
MG;CONTAGEM;32210480
PR;GOIOERE;87360000
SP;SAO JOSE DO RIO PRETO;15060000
SC;LONTRAS;89182000
MG;MONTES CLAROS;39401266
PR;LONDRINA;86058100
MG;PARACATU;38600212
MG;UBERLANDIA;38400506
BA;PAULO AFONSO;48605169
SP;GUARUJA;11420000
MG;BRUMADINHO;35460000
SP;HORTOLANDIA;13186534
MG;JOAO PINHEIRO;38770000
AL;MACEIO;57035180
SP;ELISIARIO;15823000
ES;COLATINA;29703137
SP;PEDERNEIRAS;17280000
MG;VARGINHA;37031414
MT;CUIABA;78050090
BA;LAURO DE FREITAS;42701350
PR;ANTONIO OLINTO;83980000
DF;BRASILIA;70350713
BA;PORTO SEGURO;45810000
SP;SANTO ANTONIO DE POSSE;13832012
SP;VINHEDO;13287600
MG;CACHOEIRA DO CAMPO;35410000
BA;VALENCA;45400000
SP;JAGUARIUNA;13820000
MT;TANGARA DA SERRA;78300000
GO;CHAPADAO DO CEU;75828000
SC;SAO BENTO DO SUL;89280181
PI;TERESINA;64048152
SC;JOINVILLE;89202205
GO;GOIANESIA;76380022
RJ;CAMPOS DOS GOYTACAZES;28020830
MG;ITAUNA;35680368
SP;SANTA BARBARA D'OESTE;13456500
SP;SAO CAETANO DO SUL;09521320
SP;SUZANAPOLIS;15380000
BA;ALAGOINHAS;48050060
SP;SAO SEBASTIAO;11621600
ES;SERRA;29164050
SC;BOM RETIRO;88680000
ES;ARACRUZ;29194578
RS;SANTA ROSA;98780056
BA;ITABUNA;45605515
SP;MOGI-GUACU;13840001
PR;MARINGA;87050110
PR;ASTORGA;86730000
ES;VILA VELHA;29101300
SP;LOUVEIRA;13290000
SP;JUNDIAI;13212448
MT;PONTAL DO ARAGUAIA;78698000
MG;BETIM;32678455
MS;CAMPO GRANDE;79091114
BA;CRUZ DAS ALMAS;44380000
SP;OLIMPIA;15400000
MG;JUATUBA;35675000
SP;CUBATAO;11515140
RJ;CABO FRIO;28911250
MG;EWBANK DA CAMARA;36108000
SP;GUARULHOS;07192000
SC;ITAPIRANGA;89896000
PR;CAMBE;86187025
PR;QUATIGUA;86450000
SC;JARAGUA DO SUL;89255423
GO;GOIANIA;74140100
RJ;CARAPEBUS;27998000
BA;SALVADOR;40265010
MG;VICOSA;36572030
SP;SANTO ANDRE;09290450
SP;SAO JOSE DOS CAMPOS;12246021
PB;JOAO PESSOA;58032110
MG;GOVERNADOR VALADARES;35051640
SP;BAURU;17012631
BA;SAO GABRIEL;44915000
MG;NOVA LIMA;34008053
RS;SANTA CRUZ DO SUL;96835642
SC;BRUSQUE;88352502
SC;BRACO DO NORTE;88750000
SC;BLUMENAU;89045338
SP;BARUERI;06454080
SC;FLORIANOPOLIS;88015650
SC;MARAVILHA;89874000
MG;SAO JOAO DEL REI;36301166
MG;TRES PONTAS;37190000
RJ;SAO PEDRO DA ALDEIA;28948117
SP;SANTANA DE PARNAIBA;06502001
SP;BOTUCATU;18608224
MG;PEDRA AZUL;39970000
ES;ITARANA;29620000
SP;SOROCABA;18030185
RJ;MARICA;24914345
SP;BOM JESUS DOS PERDOES;12955000
SP;BARRA BONITA;17340000
PR;PATO BRANCO;85504440
SC;TIMBO;89120000
RS;NOVA PADUA;95275000
SP;GUARATINGUETA;12513300
RJ;PETROPOLIS;25655374
SP;LENCOIS PAULISTA;18682580
MG;IPATINGA;35162299
RJ;NITEROI;24120191
SP;RIO CLARO;13500510
SP;TABOAO DA SERRA;06786020
GO;NIQUELANDIA;76420000
RS;RIO PARDO;96640000
SE;NEOPOLIS;49980000
SP;RIBEIRAO BONITO;13580000
SP;RAFARD;13370000
MG;SETE LAGOAS;35700068
MT;RONDONOPOLIS;78731608
RJ;PORCIUNCULA;28390000
RJ;NOVA FRIBURGO;28614410
MG;ESPERA FELIZ;36830000
SP;SANTOS;11045301
SP;BARRETOS;14784011
RS;PORTO ALEGRE;90150050
SC;CONCORDIA;89700204
BA;CANUDOS;48520000
RS;GLORINHA;94380000
MS;PARANAIBA;79500000
BA;FATIMA;48415000
SP;PRAIA GRANDE;11719060
SP;CAMPO LIMPO PAULISTA;13234697
SP;IBATE;14815000
SC;CRICIUMA;88816500
RS;TAQUARA;95600068
SP;LARANJAL PAULISTA;18500000
MG;JUIZ DE FORA;36015420
ES;NOVA VENECIA;29830000
SP;RIBEIRAO PRETO;14085100
SP;ITAPIRAPUA PAULISTA;18385000
RJ;VOLTA REDONDA;27263190
MG;SALINAS;39560000
SP;ARARAQUARA;14801562
RJ;SAO VICENTE DE PAULA;28980000
SP;UBATUBA;11680000
SP;VALPARAISO;16880000
SC;IPUACU;89832000
MG;AMPARO DA SERRA;35444000
PE;RECIFE;51021070
PR;JAGUAPITA;86610000
SP;BROTAS;17380000
GO;ANAPOLIS;75110740
SP;MOGI-MIRIM;13806566
MG;JOAO MONLEVADE;35930044
RS;TUPANDI;95775000
PR;PAICANDU;87140000
SP;JAU;17210181
SP;PIRAPOZINHO;19200000
RJ;SAO GONCALO;24411142
GO;VICENTINOPOLIS;75555000
MG;TIMOTEO;35182352
RJ;MAGE;25925678
BA;ITUBERA;45435000
RS;ANTONIO PRADO;95250000
SP;SUMARE;13170021
MG;MONTE CARMELO;38500000
ES;CARIACICA;29143325
RJ;PARATI;23970000
SP;BOCAINA;17240000
ES;SAO JOSE DO CALCADO;29470000
CE;EUSEBIO;61760000
SP;LORENA;12605260
MG;MUTUM;36955000
SP;ITU;13304050
MG;ALEM PARAIBA;36660000
RS;CANOAS;92020510
MG;MANHUACU;36900000
SC;RIO DO OESTE;89180000
RS;IJUI;98700000
SP;AMERICANA;13467630
SP;PRESIDENTE PRUDENTE;19061368
PE;CHA GRANDE;55636000
ES;VITORIA;29090570
BA;SANTALUZ;48880000
GO;RIO VERDE;75909035
PE;PALMARES;55540000
SP;PAULINIA;13140614
BA;ILHEUS;45654510
SP;VALINHOS;13271510
GO;PIRES DO RIO;75200000
GO;MONTIVIDIU;75915000
RS;CACHOEIRINHA;94960425
MS;CORUMBA;79302090
MS;TRES LAGOAS;79604100
SP;MOGI DAS CRUZES;08717320
SP;SALTO;13321330
MA;IMPERATRIZ;65900630
MG;MINAS NOVAS;39650000
RS;HORIZONTINA;98920000
RJ;DUQUE DE CAXIAS;25213173
RS;ERECHIM;99704170
RJ;RESENDE;27536000
SP;INDAIATUBA;13348634
MG;NOVA SERRANA;35519000
SP;SANTA CRUZ DAS PALMEIRAS;13650000
PR;APUCARANA;86800450
RS;JAGUARAO;96300000
PR;CASCAVEL;85808460
SP;ITATIBA;13255130
RJ;TERESOPOLIS;25980230
SC;PALHOCA;88132147
ES;GUACUI;29560000
BA;VITORIA DA CONQUISTA;45020260
ES;CACHOEIRO DE ITAPEMIRIM;29316258
MG;DOM BOSCO;38654000
SP;PRESIDENTE VENCESLAU;19400000
MG;LAGOA DA PRATA;35590000
SP;LINS;16400400
SP;SILVEIRAS;12690000
MG;BARBACENA;36200720
SP;SALTO DE PIRAPORA;18160000
RJ;RIO DAS OSTRAS;28895672
RS;PELOTAS;96080707
BA;BONINAL;46740000
TO;ARAGUAINA;77803080
MG;NOVA RESENDE;37860000
RS;CACHOEIRA DO SUL;96508001
SP;NOVA ODESSA;13387692
PR;IRATI;84500000
BA;CAETITE;46400000
MG;SAO SEBASTIAO DO PARAISO;37950000
SP;ASSIS;19813000
MT;LUCAS DO RIO VERDE;78455000
SP;VOTUPORANGA;15505070
PR;JACAREZINHO;86400000
RS;PASSO FUNDO;99010590
MG;SAO FRANCISCO DE PAULA;35543000
MG;MARIANA;35420000
SP;ATIBAIA;12951140
RJ;NOVA IGUACU;26031110
ES;SANTA MARIA DE JETIBA;29645000
MG;LAVRAS;37200000
PR;FAXINAL;86840000
SP;CAPIVARI;13360000
SP;BURI;18290000
PR;ARAPONGAS;86700010
SC;BALNEARIO CAMBORIU;88330484
SP;REGISTRO;11900000
MG;MONTE VERDE;37653000
MG;ELOI MENDES;37110000
RS;LAJEADO;95900700
PR;MANDAGUARI;86975000
MG;TEOFILO OTONI;39803142
SP;ARARAS;13601412
MG;CARMO DO PARANAIBA;38840000
SC;BARRA VELHA;88390000
SC;INDAIAL;89081275
SP;SOCORRO;13960000
PR;PINHAIS;83324010
RS;BENTO GONCALVES;95705348
RS;CARAZINHO;99500000
MG;GUAXUPE;37800000
